RANK,Country,Happiness score ,Whisker-high ,Whisker-low,Dystopia (1.83) + residual ,Explained by: GDP per capita ,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
68,Mongolia,5.76,5.85,5.68,2,1.39,1,0.467,0.398,0.247,0.059
69,Dominican Republic,5.74,5.87,5.6,1.75,1.54,1,0.577,0.606,0.084,0.179
70,Malaysia,5.71,5.85,5.58,1.47,1.69,0.938,0.62,0.654,0.213,0.126
71,Bolivia,5.6,5.71,5.49,2.11,1.26,0.88,0.555,0.627,0.112,0.064
72,China,5.59,5.65,5.52,1.52,1.51,0.958,0.705,0.656,0.099,0.142
73,Paraguay,5.58,5.69,5.47,1.56,1.41,1,0.624,0.629,0.171,0.059
74,Peru,5.56,5.68,5.44,1.89,1.4,0.865,0.735,0.545,0.09,0.037
75,Montenegro,5.55,5.68,5.41,1.62,1.57,1,0.659,0.46,0.135,0.077
76,Ecuador,5.53,5.65,5.41,1.87,1.35,0.879,0.708,0.565,0.08,0.083
77,Vietnam,5.49,5.57,5.4,1.74,1.25,0.932,0.611,0.707,0.143,0.105
78,Turkmenistan,5.47,5.58,5.37,1.16,1.48,1,0.516,0.649,0.314,0.032
79,Northern Cyprus,5.47,5.61,5.33,1.08,1.82,0.888,0.819,0.523,0.13,0.213
80,Russia,5.46,5.53,5.39,1.49,1.69,1,0.586,0.401,0.117,0.08
81,Hong Kong,5.43,5.5,5.35,0.64,1.96,0.954,0.942,0.4,0.147,0.383
82,Armenia,5.4,5.52,5.28,1.65,1.43,0.82,0.668,0.558,0.054,0.21
83,Tajikistan,5.38,5.47,5.29,1.9,0.97,1,0.518,0.572,0.118,0.304
84,Nepal,5.38,5.5,5.25,2.22,0.98,0.784,0.499,0.519,0.237,0.13
85,Bulgaria,5.37,5.49,5.26,1.24,1.63,1,0.64,0.563,0.123,0.021
86,Libya,5.33,5.54,5.12,1.54,1.48,0.943,0.606,0.477,0.106,0.179
87,Indonesia,5.24,5.34,5.14,1.3,1.38,0.883,0.539,0.62,0.468,0.047
88,Ivory Coast,5.24,5.38,5.09,2.65,1.09,0.442,0.322,0.451,0.149,0.124
89,Macedonia,5.2,5.3,5.1,1.46,1.51,0.863,0.637,0.488,0.215,0.031
90,Albania,5.2,5.32,5.08,1.72,1.44,0.646,0.719,0.511,0.138,0.028
91,South Africa,5.19,5.32,5.07,1.74,1.43,1,0.361,0.442,0.089,0.046
92,Azerbaijan,5.17,5.27,5.08,1.1,1.46,1,0.56,0.601,0.023,0.341
93,Gambia,5.16,5.41,4.92,2.53,0.79,0.621,0.369,0.367,0.388,0.103
94,Bangladesh,5.16,5.26,5.05,1.97,1.06,0.614,0.581,0.622,0.125,0.187
95,Laos,5.14,5.26,5.02,1.71,1.24,0.654,0.479,0.679,0.197,0.184
96,Algeria,5.12,5.22,5.03,1.74,1.36,0.97,0.643,0.146,0.106,0.15
97,Liberia,5.12,5.43,4.82,2.84,0.64,0.67,0.309,0.405,0.178,0.08
98,Ukraine,5.08,5.19,4.98,1.33,1.41,1,0.583,0.473,0.188,0.017
99,Congo (Brazzaville),5.08,5.24,4.92,2.66,0.95,0.405,0.355,0.431,0.13,0.146
100,Morocco,5.06,5.18,4.94,2.41,1.21,0.268,0.565,0.492,0.02,0.102
101,Mozambique,5.05,5.27,4.82,2.64,0.58,0.66,0.191,0.593,0.185,0.2
102,Cameroon,5.05,5.19,4.91,2.47,0.97,0.672,0.317,0.397,0.152,0.074
103,Senegal,5.05,5.17,4.92,2.42,0.93,0.53,0.447,0.494,0.143,0.081
104,Niger,5,5.25,4.76,2.67,0.57,0.56,0.326,0.571,0.165,0.145
105,Georgia,4.97,5.08,4.87,1.58,1.47,0.612,0.595,0.508,0,0.208
106,Gabon,4.96,5.09,4.83,1.89,1.46,0.738,0.396,0.343,0.032,0.099
107,Iraq,4.94,5.1,4.78,1.89,1.29,0.682,0.554,0.328,0.147,0.046
108,Venezuela,4.93,5.05,4.8,2.79,nan,0.968,0.578,0.283,0.225,0.082
109,Guinea,4.89,5.03,4.75,2.54,0.85,0.566,0.275,0.334,0.214,0.116
110,Iran,4.89,5,4.78,1.43,1.41,0.741,0.642,0.281,0.241,0.146
111,Ghana,4.87,5,4.75,1.97,1.11,0.595,0.409,0.5,0.23,0.056
112,Turkey,4.74,4.85,4.64,1.06,1.71,0.865,0.702,0.209,0.087,0.115
113,Burkina Faso,4.67,4.81,4.53,2.31,0.78,0.565,0.32,0.382,0.186,0.126
114,Cambodia,4.64,4.77,4.52,1.41,1.02,0.732,0.505,0.74,0.166,0.068
115,Benin,4.62,4.75,4.49,2.46,0.93,0.064,0.335,0.479,0.127,0.23
116,Comoros,4.61,4.85,4.37,2.3,0.9,0.476,0.424,0.185,0.195,0.125
117,Uganda,4.6,4.75,4.46,1.84,0.78,0.875,0.418,0.402,0.222,0.066
